title,Issue key,Issue id,Parent id,labels,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Begin Date),Custom field (Conditions),Custom field (Cucumber Scenario),Custom field (Cucumber Test Type),Custom field (End Date),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Generic Test Definition),Custom field (Manual Test Steps),Custom field (Manual Test Steps (Export)),Custom field (Pre-Condition Type),Custom field (Rank),Custom field (Revision),Sprint,Custom field (Start date),Custom field (Steps Count),Custom field (Story Points),Custom field (Task mode),Custom field (Task progress),Custom field (Test Count),Custom field (Test Execution Status),Custom field (Test Plan Status),Custom field (Test Repository Path),Custom field (Test Set Status),Custom field (Test Type),Custom field (TestRunStatus),Comment
Images in questions and options are missing,AFS-32,10119,,Bug,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,santoshv,renuv,renuv,11/06/20 9:48,11/06/20 12:07,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0005g:,,June2ndWeek,,,,,,,"{""issueId"":10119,""testStatuses"":[]}",,,,,,
Sorting : Feedback not displaying for prev attempted question,AFS-33,10120,,Bug,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,sushantk,renuv,renuv,11/06/20 10:14,11/06/20 12:07,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0005h:,,June2ndWeek,,,,,,,"{""issueId"":10120,""testStatuses"":[]}",,,,,,
Highlights(filter) in book,AFS-51,10138,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,ashutoshs,renuv,renuv,11/06/20 11:15,11/06/20 11:33,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:h,,June2ndWeek,,,,,,,"{""issueId"":10138,""testStatuses"":[]}",,,,,,
"Set chapter/topic  exclusion , taught in school",AFS-53,10140,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,ashutoshs,renuv,renuv,11/06/20 11:16,11/06/20 11:33,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:g,,June2ndWeek,,,,,,,"{""issueId"":10140,""testStatuses"":[]}",,,,,,
Task Assignment- Component,AFS-55,10142,10109,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,saiv,renuv,renuv,11/06/20 11:29,11/06/20 11:29,11/06/20 11:32,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0009j:,,June2ndWeek,,,,,,,"{""issueId"":10142,""testStatuses"":[]}",,,,,,
View Task Assignment,AFS-22,10109,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,saiv,renuv,renuv,10/06/20 13:24,11/06/20 11:29,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i00052:,,June2ndWeek,,,,,,,"{""issueId"":10109,""testStatuses"":[]}",,,,,,
JSON SCHEMA - MODULE setup,AFS-54,10141,10105,Sub-task,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,kailashs,renuv,renuv,11/06/20 11:28,11/06/20 11:28,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0009b:,,June2ndWeek,,,,,,,"{""issueId"":10141,""testStatuses"":[]}",,,,,,
Assignment Card,AFS-27,10114,10105,Sub-task,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,saiv,renuv,renuv,10/06/20 13:43,11/06/20 11:28,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0004v:,,June2ndWeek,,,,,,,"{""issueId"":10114,""testStatuses"":[]}",,,,,,
BrowseBook navigation,AFS-15,10102,,Epic,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:16,11/06/20 11:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-7,,BrowseBook-nav,To Do,,[],,,0|i00027:,,,,,,,,,"{""issueId"":10102,""testStatuses"":[]}",,,,,,
Search chapter/topic in book,AFS-52,10139,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:16,11/06/20 11:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i00093:,,,,,,,,,"{""issueId"":10139,""testStatuses"":[]}",,,,,,
Download ebook,AFS-50,10137,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:13,11/06/20 11:13,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0008n:,,,,,,,,,"{""issueId"":10137,""testStatuses"":[]}",,,,,,
Book,AFS-46,10133,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:01,11/06/20 11:11,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:9,,June2ndWeek,,,,,,,"{""issueId"":10133,""testStatuses"":[]}",,,,,,
UI Skinning ,AFS-49,10136,10132,Sub-task,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,aditya,arvindn,arvindn,11/06/20 11:10,11/06/20 11:11,12/06/20 21:45,,,0,,,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0008f:,,June2ndWeek,,,,,,,"{""issueId"":10136,""testStatuses"":[]}",,,,,,
BookShelf,AFS-45,10132,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:01,11/06/20 11:10,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:i,,June2ndWeek,,,,,,,"{""issueId"":10132,""testStatuses"":[]}",,,,,,
Load Resource for chapter and topic,AFS-48,10135,,Story,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:03,11/06/20 11:08,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:f,,June2ndWeek,,,,,,,"{""issueId"":10135,""testStatuses"":[]}",,,,,,
Chapter Accordian,AFS-47,10134,,Task,In Progress,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 11:02,11/06/20 11:08,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-15,,,,[],,,0|i0005i:c,,June2ndWeek,,,,,,,"{""issueId"":10134,""testStatuses"":[]}",,,,,,
Big Idea Player,AFS-44,10131,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,sushantk,renuv,renuv,11/06/20 10:49,11/06/20 10:50,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0005i:,,June2ndWeek,,,,,,,"{""issueId"":10131,""testStatuses"":[]}",,,,,,
Big Idea to have all  Template in horizontal layout,AFS-29,10116,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,santoshv,renuv,renuv,11/06/20 9:14,11/06/20 10:19,12/06/20 21:45,,,0,"_1. Provision to include theme_

_2. Question Feedback animation_ 

 ",,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0005j:,,,,,,,,,"{""issueId"":10116,""testStatuses"":[]}",,,,,,
Subjective,AFS-43,10130,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:18,11/06/20 10:18,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00087:,,,,,,,,,"{""issueId"":10130,""testStatuses"":[]}",,,,,,
Hotspot,AFS-42,10129,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:18,11/06/20 10:18,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0007z:,,,,,,,,,"{""issueId"":10129,""testStatuses"":[]}",,,,,,
FIB-DND,AFS-41,10128,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:18,11/06/20 10:18,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0007r:,,,,,,,,,"{""issueId"":10128,""testStatuses"":[]}",,,,,,
FIB,AFS-40,10127,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:17,11/06/20 10:17,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0007j:,,,,,,,,,"{""issueId"":10127,""testStatuses"":[]}",,,,,,
Match,AFS-39,10126,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:17,11/06/20 10:17,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0007b:,,,,,,,,,"{""issueId"":10126,""testStatuses"":[]}",,,,,,
Sorting,AFS-38,10125,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:17,11/06/20 10:17,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i00073:,,,,,,,,,"{""issueId"":10125,""testStatuses"":[]}",,,,,,
Composite,AFS-37,10124,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:17,11/06/20 10:17,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0006v:,,,,,,,,,"{""issueId"":10124,""testStatuses"":[]}",,,,,,
Hotspot Template,AFS-36,10123,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:16,11/06/20 10:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0006n:,,,,,,,,,"{""issueId"":10123,""testStatuses"":[]}",,,,,,
FIB DND Template,AFS-35,10122,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:16,11/06/20 10:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i0006f:,,,,,,,,,"{""issueId"":10122,""testStatuses"":[]}",,,,,,
FIB -multiple blanks to be added,AFS-34,10121,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 10:16,11/06/20 10:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-13,,,,[],,,0|i00067:,,,,,,,,,"{""issueId"":10121,""testStatuses"":[]}",,,,,,
SCQ,AFS-31,10118,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 9:16,11/06/20 9:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0005z:,,,,,,,,,"{""issueId"":10118,""testStatuses"":[]}",,,,,,
MCQ,AFS-30,10117,10116,Sub-task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,11/06/20 9:16,11/06/20 9:16,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0005r:,,,,,,,,,"{""issueId"":10117,""testStatuses"":[]}",,,,,,
Summary Component,AFS-11,10010,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,arvindn,arvindn,08/06/20 21:44,10/06/20 19:39,12/06/20 21:45,,,0,"Loads the summary which can be a text or an image. 

1) Navigation to the next sub resource within a summary. 

2) On Summary Complete, next resource to be loaded and if not present within the same TQ, the first resource from the next TQ to be shown.",,arvindn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,0|i0001j:,,,,,,,,,"{""issueId"":10010,""testStatuses"":[]}",,,,,,
Mark Assignment as complete,AFS-25,10112,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:24,10/06/20 15:26,10/06/20 16:57,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i00051:i,,June2ndWeek,,,,,,,"{""issueId"":10112,""testStatuses"":[]}",,,,,,
View Digital Test Assignment ,AFS-23,10110,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:24,10/06/20 14:43,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i0005b:,,June2ndWeek,,,,,,,"{""issueId"":10110,""testStatuses"":[]}",,,,,,
Filter assignments by,AFS-21,10108,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:21,10/06/20 14:41,12/06/20 21:45,,,0,"Filter by:
 * Source - School/Class Assignments
 * Completion Status
 * Date
 * Type - Task/Test1,2,3/Summary",,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i00051:,,June2ndWeek,,,,,,,"{""issueId"":10108,""testStatuses"":[]}",,,,,,
View All Completed Assignments (list),AFS-20,10107,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:18,10/06/20 14:40,12/06/20 18:01,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i0004v:i,,June2ndWeek,,,,,,,"{""issueId"":10107,""testStatuses"":[]}",,,,,,
View All Upcoming Assignments (list),AFS-19,10106,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:18,10/06/20 14:40,12/06/20 21:45,,,0,,,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i0004w:,,June2ndWeek,,,,,,,"{""issueId"":10106,""testStatuses"":[]}",,,,,,
View All Assignments Due Today (list),AFS-18,10105,,Story,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:18,10/06/20 14:40,12/06/20 21:45,,,0,"Todays

- Lesson Type, Subject (if applicable), Lesson Title, Lesson Duration, Due today, Assigned by (only in case of school), Not completed State

- Lesson Type, Subject (if applicable), Lesson Title, Lesson Duration, Overdue by, Assigned by (only in case of school), Not completed State

 

Upcoming (latest first)

- Lesson Type, Subject (if applicable), Lesson Title, Lesson Duration, Due on mm-dd-yyyy, Assigned by (only in case of school), Not completed State

 

Completed

- Lesson Type, Subject (if applicable), Lesson Title, Lesson Duration, Completed on mm-dd-yyyy, Assigned by (only in case of school), Completed State",,renuv,,,,,,,,,,,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i00050:,,June2ndWeek,,,,,,,"{""issueId"":10105,""testStatuses"":[]}",,,,,,
Assignment Card- DumbComponent,AFS-28,10115,,Task,To Do,AFS,AFS - Frontend,software,pmoadmin,,,Medium,,,renuv,renuv,10/06/20 13:44,10/06/20 13:47,12/06/20 21:45,,,0," 

*Assignment card*

*INPUT*
 # Icon based on assignment type
 # Label
 # Duration ,  Assignee
 # Due date 
 # Subject Color
 # Status (pending , viewed , Student Complete,pending review,complete)

 

*BEHAVIOR*
 # Indicate Overdue  for today card
 # Show date for upcoming 

 

*Event*

ASSIGNMENT_LOAD

 ",,renuv,,,,,,,,,,AFS-18,,,,,,,,,,,,,,,,AFS-14,,,,[],,,0|i00053:,,June2ndWeek,,,,,,,"{""issueId"":10115,""testStatuses"":[]}",,,,,,
